lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
,2511,,15,0.5168848037719727,0.8424999713897705,,
0.0836151100528878,2549,,,,,,
,2549,0.253068745136261,16,,,,
0.08200282033570337,2599,,,,,,
,2599,0.2302922159433365,16,,,,
0.08033207254673727,2649,,,,,,
,2649,0.31261223554611206,16,,,,
,2668,,16,0.4200046956539154,0.8658000230789185,,
0.07860591858277646,2699,,,,,,
,2699,0.2709232270717621,17,,,,
0.07682751154913771,2749,,,,,,
,2749,0.26527342200279236,17,,,,
0.0750001,2799,,,,,,
,2799,0.22689665853977203,17,,,,
,2825,,17,0.4664243161678314,0.8464999794960022,,
0.07312702200438372,2849,,,,,,
,2849,0.31955352425575256,18,,,,
0.07121169904861628,2899,,,,,,
,2899,0.2159591019153595,18,,,,
0.06925762978642228,2949,,,,,,
,2949,0.24668696522712708,18,,,,
,2982,,18,0.5098238587379456,0.8348000049591064,,
0.0672683836480545,2999,,,,,,
,2999,0.20076686143875122,19,,,,
0.06524759432014013,3049,,,,,,
,3049,0.2240748107433319,19,,,,
0.06319895310815188,3099,,,,,,
,3099,0.19515638053417206,19,,,,
,3139,,19,0.3973332345485687,0.8740000128746033,,
0.06112620219362893,3149,,,,,,
,3149,0.22965405881404877,20,,,,
0.05903312779846423,3199,,,,,,
,3199,0.13258954882621765,20,,,,
0.056923553268744854,3249,,,,,,
,3249,0.2329779714345932,20,,,,
,3296,,20,0.3974332809448242,0.8697999715805054,,
0.054801332090778906,3299,,,,,,
,3299,0.2184910625219345,21,,,,
0.05267034085206632,3349,,,,,,
,3349,0.23123383522033691,21,,,,
0.05053447216007148,3399,,,,,,
,3399,0.2610185444355011,21,,,,
0.048397627531732754,3449,,,,,,
,3449,0.21031738817691803,21,,,,
,3453,,21,0.4030601680278778,0.8687999844551086,,
0.046263710266697504,3499,,,,,,
,3499,0.2362595498561859,22,,,,
0.04413661831730046,3549,,,,,,
,3549,0.13508538901805878,22,,,,
0.042020237168310055,3599,,,,,,
,3599,0.259552538394928,22,,,,
,3610,,22,0.3598790764808655,0.8840000033378601,,
0.0399184327394487,3649,,,,,,
,3649,0.16975361108779907,23,,,,
0.037835044323651916,3699,,,,,,
,3699,0.18498951196670532,23,,,,
0.035773877573965704,3749,,,,,,
,3749,0.19666257500648499,23,,,,
,3767,,23,0.3945956528186798,0.8794999718666077,,
0.03373869755189263,3799,,,,,,
,3799,0.14969658851623535,24,,,,
0.03173322184988512,3849,,,,,,
,3849,0.14282792806625366,24,,,,
0.029761113800548935,3899,,,,,,
,3899,0.10984498262405396,24,,,,
,3924,,24,0.33534398674964905,0.8931000232696533,,
0.02782597578496098,3949,,,,,,
,3949,0.12340295314788818,25,,,,
0.02593134265232537,3999,,,,,,
,3999,0.12131406366825104,25,,,,
0.024080675262987412,4049,,,,,,
,4049,0.15068328380584717,25,,,,
,4081,,25,0.34452691674232483,0.8950999975204468,,
0.02227735416660076,4099,,,,,,
,4099,0.09149736911058426,26,,,,
0.02052467342699492,4149,,,,,,
,4149,0.10115842521190643,26,,,,
0.0188258346050237,4199,,,,,,
,4199,0.09901366382837296,26,,,,
,4238,,26,0.28226032853126526,0.9143999814987183,,
0.01718394091038552,4249,,,,,,
,4249,0.06045064330101013,27,,,,
0.015601991533098313,4299,,,,,,
,4299,0.067984938621521,27,,,,
0.014082876164983646,4349,,,,,,
,4349,0.09836748242378235,27,,,,
,4395,,27,0.2834932804107666,0.9122999906539917,,
0.012629369721167285,4399,,,,,,
,4399,0.09539954364299774,28,,,,
0.01124412727123843,4449,,,,,,
,4449,0.03277881070971489,28,,,,
0.009929679189326548,4499,,,,,,
,4499,0.08707466721534729,28,,,,
0.008688426531955128,4549,,,,,,
,4549,0.050054408609867096,28,,,,
,4552,,28,0.2673754096031189,0.9222999811172485,,
0.00752263665211534,4599,,,,,,
,4599,0.03536180779337883,29,,,,
0.006434439057571355,4649,,,,,,
,4649,0.049934905022382736,29,,,,
0.005425821520962636,4699,,,,,,
,4699,0.03427546098828316,29,,,,
,4709,,29,0.24883031845092773,0.926800012588501,,
,4710,,30,,,0.2790431082248688,0.9186999797821045
